STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/3/2014,,65,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/4/2014,,62,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/5/2014,,65,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/6/2014,,66,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/7/2014,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/8/2014,,64,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/9/2014,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/10/2014,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/11/2014,,68,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/12/2014,,64,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/13/2014,,67,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/14/2014,,72,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/15/2014,,73,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/16/2014,,70,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/17/2014,,68,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/18/2014,,68,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/19/2014,,68,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/20/2014,,67,58
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/21/2014,,70,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/22/2014,,72,61
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/23/2014,,71,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/24/2014,,75,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/25/2014,,85,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/26/2014,,72,59
